Chemical,Long name,product_flow_x,product_flow_y,percent,Feedstock
Acetone,Conventional benzene conversion to acetone,5.627070277811509e-16,0.9021488990000006,6.237407465717591e-14,Conventional benzene conversion to acetone
Benzene,Biomass pyrolysis to benzene,3.4204987481166984e-16,7.7353185678040175,4.421923568026682e-15,Biomass pyrolysis to benzene
Benzene,Biomass to benzene via syngas and MTA,0.0,7.7353185678040175,0.0,Biomass to benzene via syngas and MTA
Benzene,Plastic to benzene via syngas and MTA,0.0,7.7353185678040175,0.0,Plastic to benzene via syngas and MTA
Benzene,CO2 to benzene via syngas and MTA,0.0,7.7353185678040175,0.0,CO2 to benzene via syngas and MTA
Benzene,CO2 to benzene via thermochem and MTA,0.0,7.7353185678040175,0.0,CO2 to benzene via thermochem and MTA
Benzene,CO2 to benzene via electrochem and MTA,0.0,7.7353185678040175,0.0,CO2 to benzene via electrochem and MTA
Ethylene,Biomass pyrolysis to ethylene,7.698989856246915e-16,55.900914895424975,1.3772565029838203e-15,Biomass pyrolysis to ethylene
Ethylene,CO2 to ethylene via thermochem and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via thermochem and methanol-to-olefins
Ethylene,Biomass to ethylene via syngas and methanol-to-olefins,0.0,55.900914895424975,0.0,Biomass to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via syngas and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via syngas and methanol-to-olefins
Ethylene,CO2 to ethylene via electrochem and methanol-to-olefins,0.0,55.900914895424975,0.0,CO2 to ethylene via electrochem and methanol-to-olefins
Phenol,Conventional benzene conversion to phenol,0.0,0.8927574039999989,0.0,Conventional benzene conversion to phenol
Propylene,Biomass to propylene via syngas and methanol-to-olefins,0.0,16.618738444644002,0.0,Biomass to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via syngas and methanol-to-olefins,0.0,16.618738444644002,0.0,CO2 to propylene via syngas and methanol-to-olefins
Propylene,CO2 to propylene via thermochem and methanol-to-olefins,0.0,16.618738444644002,0.0,CO2 to propylene via thermochem and methanol-to-olefins
Propylene,Biomass pyrolysis to propylene,0.0,16.618738444644002,0.0,Biomass pyrolysis to propylene
Propylene,CO2 to propylene via electrochem and methanol-to-olefins,0.0,16.618738444644002,0.0,CO2 to propylene via electrochem and methanol-to-olefins
Toluene,Biomass pyrolysis to toluene,8.034428276562071e-16,7.236769638492012,1.1102230246251523e-14,Biomass pyrolysis to toluene
Toluene,Biomass to toluene via syngas and MTA,0.0,7.236769638492012,0.0,Biomass to toluene via syngas and MTA
Toluene,Plastic to toluene via syngas and MTA,0.0,7.236769638492012,0.0,Plastic to toluene via syngas and MTA
Toluene,CO2 to toluene via syngas and MTA,0.0,7.236769638492012,0.0,CO2 to toluene via syngas and MTA
Toluene,CO2 to toluene via thermochem and MTA,0.0,7.236769638492012,0.0,CO2 to toluene via thermochem and MTA
Toluene,CO2 to toluene via electrochem and MTA,0.0,7.236769638492012,0.0,CO2 to toluene via electrochem and MTA
Xylenes,Biomass pyrolysis to xylenes,7.824374260685439e-16,9.405717830445022,8.318742281805446e-15,Biomass pyrolysis to xylenes
Xylenes,Biomass to xylenes via syngas and MTA,0.0,9.405717830445022,0.0,Biomass to xylenes via syngas and MTA
Xylenes,Plastic to xylenes via syngas and MTA,0.0,9.405717830445022,0.0,Plastic to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via syngas and MTA,0.0,9.405717830445022,0.0,CO2 to xylenes via syngas and MTA
Xylenes,CO2 to xylenes via thermochem and MTA,0.0,9.405717830445022,0.0,CO2 to xylenes via thermochem and MTA
Xylenes,CO2 to xylenes via electrochem and MTA,0.0,9.405717830445022,0.0,CO2 to xylenes via electrochem and MTA
"1,4-Butanediol","Ethanol fermentation to 1,4-BDO",0.0,0.281053036,0.0,"Ethanol fermentation to 1,4-BDO"
"1,4-Butanediol","Conventional 1,4-butanediol production",0.0,0.281053036,0.0,"Conventional 1,4-butanediol production"
2-Ethylhexanol,Biomass gasification to 2-ethylhexanol via syngas,0.0,0.565315922,0.0,Biomass gasification to 2-ethylhexanol via syngas
Acetic acid,Conventional acetic acid production,0.0,3.5879137660000002,0.0,Conventional acetic acid production
Acetic acid,CO2 fermentation to acetic acid,0.0,3.5879137660000002,0.0,CO2 fermentation to acetic acid
Acetic acid,CO2 electrolysynthesis to acetic acid,0.0,3.5879137660000002,0.0,CO2 electrolysynthesis to acetic acid
Acetone,Conventional acetone production,0.9021488990000001,0.9021488990000006,99.99999999999993,Conventional acetone production
Acetone,CO2 fermentation to acetone,0.0,0.9021488990000006,0.0,CO2 fermentation to acetone
Acrylic acid,Food waste dehydration via lactic acid,0.0,1.3728276419999974,0.0,Food waste dehydration via lactic acid
Acrylic acid,Biomass fermentation to acrylic acid,0.0,1.3728276419999974,0.0,Biomass fermentation to acrylic acid
Acrylonitrile,Propylene conventional conversion to acrylonitril,0.0,1.2693993769999998,0.0,Propylene conventional conversion to acrylonitril
Adipic acid,Conventional benzene conversion to adipic acid,0.0,1.092181119,0.0,Conventional benzene conversion to adipic acid
Adipic acid,PET to adipic acid via TPA fermentation,0.0,1.092181119,0.0,PET to adipic acid via TPA fermentation
Adipic acid,Biomass fermentation to adipic acid,0.0,1.092181119,0.0,Biomass fermentation to adipic acid
Adipic acid,PS to adipic acid via benzoic acid,0.0,1.092181119,0.0,PS to adipic acid via benzoic acid
Aniline,Biomass fermentation to aniline,0.0,0.40849777,0.0,Biomass fermentation to aniline
Benzene,Conventional benzene production,0.0,7.7353185678040175,0.0,Conventional benzene production
Butadiene,CO2 to butadiene via ethanol,0.0,2.4515524594165945,0.0,CO2 to butadiene via ethanol
Butanol,Biomass fermentation to butanol,0.0,1.148167689,0.0,Biomass fermentation to butanol
Butylene,Biomass to butylene via DME,0.0,12.686055061413049,0.0,Biomass to butylene via DME
Butylene,CO2 to butylene via ethanol,0.0,12.686055061413049,0.0,CO2 to butylene via ethanol
Butylene,Biomass to butylene via ethanol,0.0,12.686055061413049,0.0,Biomass to butylene via ethanol
